BidId,TrafficType,PublisherId,AppSiteId,AppSiteCategory,Position,BidFloor,Timestamp,Age,Gender,OS,OSVersion,Model,Manufacturer,Carrier,DeviceType,DeviceId,DeviceIP,Country,Latitude,Longitude,Zipcode,GeoType,CampaignId,CreativeId,CreativeType,CreativeCategory,ExchangeBid,Outcome
BidId,TrafficType,PublisherId,AppSiteId,AppSiteCategory,Position,BidFloor,Timestamp,Age,Gender,OS,OSVersion,Model,Manufacturer,Carrier,DeviceType,DeviceId,DeviceIP,Country,Latitude,Longitude,Zipcode,GeoType,CampaignId,CreativeId,CreativeType,CreativeCategory,ExchangeBid,Outcome
ede8e3fd2d20b0012406983c0f5647df0f589248,app,abacb55691278d33d73e40141159bc0fe4d1f7a1,2a6ebd61bda594b9a63ac36e56fbf739aaafffa3,Technology & Computing,Unknown,0.0,1445991310,0,0,Android,4.4,0,ALCATEL,T-Mobile,Phone,0,6be386822b7f67030f2d11bb73742d209ea4f933,USA,35.5,-97.7,73099,GPS,61863,831042,2,Financial Planning#Investing,0.07,0
c106d7dcb6d9c7f8758ee29bc1caf22b226abc5e,app,1ab335267bb1f1691652228eddff9ccf32ecd096,9e2f564ea8403f0e8a36366bcc4d29b2b86bd299,Society,Above the Fold,0.0,1445992137,32,M,Android,4.4,0,ZTE,0,Phone,0,b38a6599f26ee15a9fdbb17315462e997bf1d3f6,USA,40.4,-104.7,80631,GPS,61863,831042,2,Financial Planning#Investing,0.07,0
b1e11c18a4121c7479cd7136f35c0749736431b3,app,e96ef2cee6a838bd02d1fc9cb2a7a06cc9ca280f,8fe46d012fed46b1722d47b4d2031db81d7122e3,Sports,Footer,0.0,1445991309,0,0,Android,4.4.2,Samsung SCH i545,Samsung,Verizon Wireless,Phone,0,a6cbb13b32530e1b33c6411e79ce88078c449e33,USA,33.9,-118.1,90018,0,54667,869106,2,Couponing#Celebrity Fan/Gossip,0.6,0
afa7f46d3a5f5609ddd829c3a0e095f7bf9e95bb,app,1ab335267bb1f1691652228eddff9ccf32ecd096,c7f3553ced216a983e60b8206389fc34cce69e49,Hobbies & Interests#Style & Fashion,Footer,0.0,1445990465,0,0,Android,4.4,ZTE N9520,ZTE,0,Phone,0,1d872e57543125d6a401e33f6de3ff96bed67be2,USA,36.1,-87.2,37187,User,57139,835106,2,Air Travel#Business Travel,0.02,0
069c5f50f8a7e8572096b2ab3fbdbdb486168c08,app,1ab335267bb1f1691652228eddff9ccf32ecd096,4bfcd1f8a046cfae4be420532926b745b12e3ec8,Arts & Entertainment#Humor,Above the Fold,0.0,1445991372,0,0,Android,4.2,Samsung GT-S7270,Samsung,Telkomsel,Phone,0,aba066077b462e6686a79c0d78278ade43b761cd,IDN,-5.0,120.0,0,User,68559,838544,1,Cell Phones,0.82,w
9e927c0a020ab179e569b1073654f0e63e883c53,app,e90d948db8d1c6a657fbb64279822490efba5661,853fc8c13578f7076c48af2be38b7c0981908fcf,Arts & Entertainment#0,Above the Fold,0.04,1445990792,0,0,Android,4.4.4,Motorola XT1030,Motorola,Verizon Wireless,Mobile/Tablet,aea408f17bb6aef88e49f69b213612c9eace5d1e,15491baea91a9f73aff9e9b4223855bf7d12fa85,USA,44.1,-91.8,55969,0,54667,872738,2,0,0.61,0
c51eb7f3f045edfa2238590aa192282ea0767a2d,app,1ab335267bb1f1691652228eddff9ccf32ecd096,7db3d1aec9fa79e0395d282339881349cfd1a529,Hobbies & Interests,Above the Fold,0.0,1445991105,0,0,Android,4.2,HTC PM63100,HTC,0,Phone,0,dbb7c10c6e76db24a4277ee396898656fd3f7149,TWN,25.0,121.5,0,IP,70759,871828,2,Board Games/Puzzles#Roleplaying Games,0.07,0
08eecba91d4feb6b7d109c5b5e2f88e2bc01ded5,app,52be8a8b8f16a455c8e67369cac9f40a8944ba9b,e57f5f8db4d73dcbba65213910aadcda3b49b7ca,Arts & Entertainment#Humor,Above the Fold,0.0,1445992427,0,0,iOS,8.3,Apple iPad,Apple,AT&T Mobility,Mobile/Tablet,df16eddaefa0c76ad44aa6415f6d962f11aaaf7b,82672fff05ace266aaec60446d4e0ae0ed4d6ed5,USA,35.2,-118.9,93307,IP,54351,389378,2,Hotels#Advertising,0.15,0
93e4d38131aa82650c4296135078b2dfce7c73c4,site,72cdc10800472953cbee41ff47ea775ddc48a506,c7e65ac74a612b825c398254d4826287f892b742,Shopping,Above the Fold,0.0,1445993773,0,0,Android,5.0,0,Motorola,AT&T Mobility,Mobile/Tablet,0,bd90fe45179e98f7b00c06a52b6f33cc46276376,USA,61.2,-149.9,0,GPS,61863,831042,2,Financial Planning#Investing,0.06,0
6c8ab11f9243c936ac9c4870d05c04c2d6409174,app,f4da8ebbd4130976b5bf24f4ffe02bd85cf13661,2bb6a022887323a92a89e2cf3c79e46e5b20fb5e,Hobbies & Interests#News,Above the Fold,0.0,1445992678,0,0,iOS,8.1.1,Apple iPad,Apple,0,Tablet,b20c2c73681dddb8a5cef2f4ea518f224bb3baf6,d93b4f4ee3d50b1647c54d150480dba196e8f74e,USA,45.7,-111.2,59718,0,54351,389378,2,Hotels#Advertising,0.15,0
f105c06056924088119ddbdf002d6eca93fb09f5,app,ab400f5f1df15f21e106b946f2b2bb90cfc5e7cd,f09c477ae7626631b8d3faec6dc10a4227d915ca,Arts & Entertainment,Unknown,0.0,1445991436,0,0,Android,4.3,Oppo Find 7,Oppo,Telkomsel,Phone,0,609641b71cc722472fc6f6eac0457dcd1bf36332,IDN,-7.2,112.8,0,IP,66591,866166,2,Advertising#Comparison,0.0,0
06a46ccabd528a5a091f56cf559e54d5a165b300,site,1ab335267bb1f1691652228eddff9ccf32ecd096,0cb274e5dbe64c2c4fed5d8d2faf859c59a4df09,Arts & Entertainment,Above the Fold,0.0,1445991019,0,0,Android,5.0,Samsung SM-G900P,Samsung,0,Mobile/Tablet,0,1099e23f75c2119c81a633dbf5e1026c9084bd8d,USA,40.9,-73.4,11221,GPS,61863,831042,2,Financial Planning#Investing,0.06,0
064962142b68b5580709eff10af6ae7ece14ab2d,app,699fd22f414575e5b3d9963e7e45e27dc8b6be1d,1ddb3a8768130713e7ed28a4a1fcc7f95b3c1051,Hobbies & Interests,Footer,0.0,1445993795,0,0,Android,4.4,0,Samsung,T-Mobile,Phone,0,1385135d95dc341d8d9b44bc42f9f7370c3e00f9,USA,34.1,-118.2,0,User,57103,835108,2,Air Travel#Business Travel,0.02,0
1506ef01e45069c27cb01a47528e9d12d36b9eb7,app,abacb55691278d33d73e40141159bc0fe4d1f7a1,716f57a6ea30792324b0a37d91d56965c67dc9b4,Technology & Computing,Unknown,0.0,1445992845,0,0,Android,5.0,LG D851,LG,T-Mobile,Mobile/Tablet,0,ae31c7b92b0bbdf4e0e4a8c2c89525c8df73340f,USA,27.8,-97.4,78416,GPS,61863,831042,2,Financial Planning#Investing,0.07,0
21b754ffa7b93510ae04fc43016ba37410502521,app,6d127e7f689a70d18fd198660a7eab37c1b5745a,8b86cd0b4315b3d95cb312a9535cf61c3d50ac15,Technology & Computing#Arts & Entertainment,Footer,0.0,1445991897,47,M,Android,4.4,LG LG/X145,LG,3,Phone,0,226d820a714b8d9c373257a431e82656c8d4aefc,IDN,3.6,98.7,0,User,71007,872474,2,Comparison#Couponing,0.01,0
c1defff950e47724be4cc6df683e7caf3577bf6f,app,ab400f5f1df15f21e106b946f2b2bb90cfc5e7cd,f09c477ae7626631b8d3faec6dc10a4227d915ca,Arts & Entertainment,Unknown,0.0,1445992593,0,0,Android,5.1,0,0,T-Mobile,Mobile/Tablet,3ad168d9b02d3ed81d74bf6d54480391d2189109,c023a6d476ae85142c57befe433371257d340bd1,USA,34.2,-118.4,90045,0,63963,801594,4,Budget Travel#Business Travel#Traveling with Kids,0.8,0
ec98fa740d4ada878082107f2d267ae2e2315646,site,b5cec46354cb42ef053ffccaaf44f872b195025c,1f87116acbd567db5b6a794662035a3f8b92f8fb,Arts & Entertainment,Unknown,0.0,1445991412,0,0,Android,4.4,Asus K012,Asus,Telkomsel,Tablet,0,f3448d9cdf637a701c9bfe646077754b12b5703a,IDN,-6.2,106.8,0,User,69891,868692,2,Advertising#Cell Phones,0.11,0
a0a035d92a4dfbdec15c19b5c0976666da7bd655,app,abacb55691278d33d73e40141159bc0fe4d1f7a1,716f57a6ea30792324b0a37d91d56965c67dc9b4,Technology & Computing,Unknown,0.0,1445993497,0,0,Android,4.4,Samsung SM-G900T1,Samsung,T-Mobile,Phone,0,35fc4cb6258b593f88725232d1d3842edd0ae031,USA,33.9,-118.4,90250,User,57103,835108,2,Air Travel#Business Travel,0.02,0
0192dbfc4f235e848db9968ce69c910a045e6e34,site,1ab335267bb1f1691652228eddff9ccf32ecd096,eb7dc0560ced55c07c05dad5ed04ec352f9ec832,Arts & Entertainment,Header,0.0,1445991407,0,0,iOS,9.1,Apple iPad,Apple,0,Mobile/Tablet,0,825885e65731f29c98f3a640c8622496c5cdb2ae,SGP,1.3,103.9,0,IP,69471,867778,2,Television,0.0,0
33ea99afaeefebe58e68c0d822456be2643ea10b,app,9f9e722a5209569959fc30193020ebffa5d0f13e,f3f447abf6aa15def97ddbcc0f8694eb8d8a4839,Arts & Entertainment,Above the Fold,0.0,1445993241,54,F,Android,5.1,0,ZTE,0,Mobile/Tablet,0,aa920e9a495db2d75cfc9f3664351b1263053f09,USA,33.9,-86.3,35120,GPS,61863,831042,2,Financial Planning#Investing,0.06,0
cf1619511fd82bd5f3e18bf4a7ff61a698ba8a95,app,a99af6e7b85b7be245e9e415f9858d5586c720a3,96b189df46ab499f72ce5e345158553745928e9b,Arts & Entertainment,Unknown,0.0,1445992415,0,0,Android,4.1,0,Smartfren,0,Phone,0,e1acc60e3fe2d74e0e60153cbb0e6b7d764c1c89,IDN,-7.2,112.8,0,User,69891,868692,2,Advertising#Cell Phones,0.02,0
207165ae8bf40aec6601aa28293340d0b0e1f881,app,fd46e691570206d54ce2d212c3a55565489a97e3,fefd0beb247725e743bbc60d2d7bd3a318a8eb1e,Sports,Above the Fold,0.0,1445991297,0,0,Android,4.4,Samsung SM-G386T,Samsung,0,Phone,0,60413c4928698c817dbba05ab151e8e7416a8760,USA,35.8,-86.4,37128,GPS,61863,831042,2,Financial Planning#Investing,0.06,0
acf3d3a4606da4cdf6c6cfc29448cc04b59c46b3,app,f4da8ebbd4130976b5bf24f4ffe02bd85cf13661,2bb6a022887323a92a89e2cf3c79e46e5b20fb5e,Hobbies & Interests#News,Above the Fold,0.0,1445992822,0,0,Android,4.4,0,0,0,Phone,0,0756d30efc2b971507fef8d73a3b984bf02a37c7,IDN,0.0,0.0,0,User,70747,871736,1,Comparison,0.08,w
