BidId,TrafficType,PublisherId,AppSiteId,AppSiteCategory,Position,BidFloor,Timestamp,Age,Gender,OS,OSVersion,Model,Manufacturer,Carrier,DeviceType,DeviceId,DeviceIP,Country,Latitude,Longitude,Zipcode,GeoType,CampaignId,CreativeId,CreativeType,CreativeCategory,ExchangeBid,Outcome
08eecba91d4feb6b7d109c5b5e2f88e2bc01ded5,app,52be8a8b8f16a455c8e67369cac9f40a8944ba9b,e57f5f8db4d73dcbba65213910aadcda3b49b7ca,Arts & Entertainment#Humor,Above the Fold,0.0,1445992427,0,0,iOS,8.3,Apple iPad,Apple,AT&T Mobility,Mobile/Tablet,df16eddaefa0c76ad44aa6415f6d962f11aaaf7b,82672fff05ace266aaec60446d4e0ae0ed4d6ed5,USA,35.2,-118.9,93307,IP,54351,389378,2,Hotels#Advertising,0.15,0
6c8ab11f9243c936ac9c4870d05c04c2d6409174,app,f4da8ebbd4130976b5bf24f4ffe02bd85cf13661,2bb6a022887323a92a89e2cf3c79e46e5b20fb5e,Hobbies & Interests#News,Above the Fold,0.0,1445992678,0,0,iOS,8.1.1,Apple iPad,Apple,0,Tablet,b20c2c73681dddb8a5cef2f4ea518f224bb3baf6,d93b4f4ee3d50b1647c54d150480dba196e8f74e,USA,45.7,-111.2,59718,0,54351,389378,2,Hotels#Advertising,0.15,0
0192dbfc4f235e848db9968ce69c910a045e6e34,site,1ab335267bb1f1691652228eddff9ccf32ecd096,eb7dc0560ced55c07c05dad5ed04ec352f9ec832,Arts & Entertainment,Header,0.0,1445991407,0,0,iOS,9.1,Apple iPad,Apple,0,Mobile/Tablet,0,825885e65731f29c98f3a640c8622496c5cdb2ae,SGP,1.3,103.9,0,IP,69471,867778,2,Television,0.0,0
e07c89134bf87dd59fbe0cffbb2f8879a0c64d25,app,1ab335267bb1f1691652228eddff9ccf32ecd096,08e04d2dd34c0937ada0d4d6476435295f834a0b,Arts & Entertainment#Humor,Above the Fold,0.0,1445992439,0,0,iOS,9.1,0,Apple,0,Mobile/Tablet,18e33eb64125b95d76e5fea235f647a65bcb477c,4de32767af85f2c3eda08261319f0c9f6ebb41c0,USA,40.5,-111.9,0,GPS,54351,389380,2,Hotels#Advertising,0.05,0
22108300ad8be2fa84ebea562e8cafb9f93d0629,app,7ba4d649042a1a655f3a3ba02267fa1ab66d17e7,63a4d08fdc16944f469598cd8694cc858a5377a7,Arts & Entertainment,Above the Fold,0.0,1445993695,20,F,iOS,9.1,Apple iPhone,Apple,Telkomsel,Mobile/Tablet,0,849d6d06792a1cd76bc468ad17f43f504ccaa2bf,IDN,-8.6,115.2,0,IP,66591,866166,2,Advertising#Comparison,0.09,w
14c662a6bceea0186701b197a5dd2a88f82866ad,app,1ab335267bb1f1691652228eddff9ccf32ecd096,5f2f6b89b21e2862a1b036b5001633fa79470e09,Society,Above the Fold,0.0,1445990709,18,F,iOS,8.4,Apple iPad,Apple,0,Mobile/Tablet,508ce9850a54e48ac673544db4356c444007c61b,ccc2cf61c2576820cc72a6cace2fa7b828e5d0ef,USA,38.0,-97.0,67123,User,54351,389378,2,Hotels#Advertising,0.15,0
9f2260fa97bf70b2db0f93c1431d88c1cb95295b,app,57ce1c3ee7b0319b3eb9c9e7a55366f76116f193,5eb2001a36f45d8c215f371f2770fcbc0eb63c1f,Arts & Entertainment#Society#0#0,Above the Fold,0.1,1445992269,0,0,iOS,9.1,0,Apple,Telkomsel,Mobile/Tablet,bbcd9dc4f4c9a6304c3015f8a67fd0430b0cfe7f,8473b7a3d9573141f9632186e31ceff24998fa24,IDN,-8.0,112.6,0,IP,66591,866168,2,Advertising#Comparison,0.03,0
6adb191657dd882ed57f388ab2a0c9c2cae65437,app,7ba4d649042a1a655f3a3ba02267fa1ab66d17e7,a9fe9aff8929976f110b27a8aef236516adaa6d6,Arts & Entertainment,Above the Fold,0.0,1445991025,23,F,iOS,0,Apple iPhone,Apple,Verizon Wireless,Mobile/Tablet,0,1ed360381c452ee32f2948ae81a0e727ea5c18d9,USA,39.9,-75.0,08107,GPS,69487,867828,2,Beauty,0.2,0
2c770f20b0e63dee41aec5aaa5d2afdb56530ebf,app,c61b84340920d77b925839b7ac06b9f0e05f2ea4,b16be854cf984edaba95b1f12335c5a2724cb6ea,Arts & Entertainment,Unknown,0.0,1445992579,0,0,iOS,8.1,Apple iPhone,Apple,Telkomsel,Phone,5f4a9d41879a434c03eb0cfd1e58a7b0bf1a7029,f1858f2ee8d1f4c2d9fcf9e63139cafa4e5fa6ba,IDN,-5.0,120.0,0,User,66591,866168,2,Advertising#Comparison,0.02,0
4f136ac9beb55f7559c00326a9b79646be854f2b,app,0,53709b14bc1521aa79fd2245d0662be87bd97acf,Arts & Entertainment#Music,Unknown,0.23,1445990643,0,0,iOS,9.1,0,Apple,AT&T Mobility,Mobile/Tablet,b79bb93eaf057ed05d99181f79ae9c5ef4e586f3,5f363a4617bc9c7282cb9cde17b6b9a00f317c91,USA,40.6,-111.9,84123,GPS,54351,389380,2,Hotels#Advertising,0.16,0
